full_name|doing_business_as|license_no|license_type_name|license_status_name|addr_line_1|addr_line_4|addr_city|addr_county|addr_state|addr_zipcode|
COMPASSIONATE THERAPEUTIC SOLUTIONS LLC|COMPASSIONATE THERAPEUTIC SOLUTIONS LLC|402-00537|Center - Type 1|Denied|1220 Lake Plaza Drive Suite B|Colorado Springs CO  80906|Colorado Springs|El Paso|CO|80906|
COMPASSIONATE THERAPEUTIC SOLUTIONS LLC|COMPASSIONATE THERAPEUTIC SOLUTIONS LLC|404-00213|Infused Product Manufacturer|Denied|332 South McCulloch|Pueblo CO  81007|Pueblo|Pueblo|CO|81007|
COMPASSIONATE THERAPEUTIC SOLUTIONS LLC|COMPASSIONATE THERAPEUTIC SOLUTIONS LLC|403-00794|Optional Premises|Denied|155 Shoop Drive|Penrose CO  81240|Penrose|Fremont|CO|81240|
Conley Hoskins|JANE MEDICALS|402-00130|Center - Type 1|Denied|7380 E COLFAX AVENUE|Denver CO  80220|Denver|Denver|CO|80220|
Conley Hoskins|JANE MEDICALS|403-00183|Optional Premises|Denied|4705 OAKLAND ST|Denver CO  80239|Denver|Denver|CO|80239|
DCS GUTTERS & ROOFING LLC|COLORADO ALTERNATIVE CARE SERVICES LLC |402-00700|Center - Type 1|Denied|296 A. S ACADEMY BLVD|Colorado Springs CO  80910|Colorado Springs|El Paso|CO|80910|
DCS GUTTERS AND ROOFING LLC|COLORADO ALTERNATIVE CARE SERVICES LLC |403-01056|Optional Premises|Denied|296 A. S ACADEMY BLVD|Colorado Springs CO  80910|Colorado Springs|El Paso|CO|80910|
DENVER MARIJUANA MEDICAL CENTER|DENVER MARIJUANA MEDICAL CENTER|402-00697|Center - Type 1|Denied|3010 N SPEER BLVD|Denver CO  80211|Denver|Denver|CO|80211|
DENVER MARIJUANA MEDICAL CENTER|DENVER MARIJUANA MEDICAL CENTER|403-01049|Optional Premises|Denied|1172 W VIRGINIA AVE|Denver CO  80211|Denver|Denver|CO|80211|
DISPENSARY GRADE LLC|BOULDER MEDICAL MARIJUANA COOPERATIVE, LLC DBA BOULDER MMC, PARTNER CO|404-00014|Infused Product Manufacturer|Denied|1150 W 5TH AVE|Denver CO  80203|Denver|Denver|CO|80203|
DISPENSARY GRADE LLC|DISPENSARY GRADE LLC|403-00051|Optional Premises|Denied|1150 W 5TH AVE|Denver CO  80204|Denver|Denver|CO|80204|
DOOBIES LLC|DOOBIES LLC|402-00499|Center - Type 1|Denied|239 27 1/4 RD #1|Grand Junction CO  81503|Grand Junction|Mesa|CO|81503|
DOOBIES LLC|DOOBIES LLC|403-00737|Optional Premises|Denied|239 27 1/4 RD #1|Grand Junction CO  81503|Grand Junction|Mesa|CO|81503|
DOWN VALLEY WELLNESS TREATMENTS|DOWN VALLEY WELLNESS TREATMENTS|404-00198|Infused Product Manufacturer|Denied|524 Evans Ct|Basalt CO  81621|Basalt|Eagle|CO|81621|
DR COGULLO LLC|PURE #3|402-00404|Center - Type 1|Denied|2500 E Boulder St|Colorado Springs CO  80909|Colorado Springs|El Paso|CO|80909|
DR COGULLO LLC|PURE #3|403-00613|Optional Premises|Denied|4191 Inca St, Unit 101|Denver CO  80221|Denver|Adams|CO|80221|
EARTH'S MEDICINE INC|MODERN ORGANICS LLC - PARTNER COMPANY|402-00283|Center - Type 3|Denied|74 N Federal Blvd|Denver CO  80219|Denver|Denver|CO|80219|
EARTH'S MEDICINE INC|MODERN ORGANICS LLC - PARTNER COMPANY|403-00417|Optional Premises|Denied|74 N Federal Blvd|Denver CO  80219|Denver|Denver|CO|80219|
EARTH'S MEDICINE INC|MODERN ORGANICS LLC - PARTNER COMPANY|403-00418|Optional Premises|Denied|124 Yuma St #2|Denver CO  80219|Denver|Denver|CO|80219|
EARTH'S MEDICINE INC|MODERN ORGANICS LLC - PARTNER COMPANY|403-00419|Optional Premises|Denied|4780 Holly St|Denver CO  80216|Denver|Denver|CO|80216|
EARTH'S MEDICINE INC|MODERN ORGANICS LLC - PARTNER COMPANY|403-00420|Optional Premises|Denied|5627 Kendal Ct|Arvada CO  80002|Arvada|Jefferson|CO|80002|
EARTH'S MEDICINE INC|MODERN ORGANICS LLC - PARTNER COMPANY|404-00115|Infused Product Manufacturer|Denied|4780 Holly St|Denver CO  80216|Denver|Denver|CO|80216|
ELEUTHERIAN ENTERPRISES LLC|ELEUTHERIAN ENTERPRISES LLC|404-00015|Infused Product Manufacturer|Denied|3215 E 42ND AVE UNIT 101|Denver CO  80216|Denver|Denver|CO|80216|
ELEUTHERIAN ENTERPRISES LLC|ELEUTHERIAN ENTERPRISES LLC|403-00054|Optional Premises|Denied|3215 E 42ND AVE UNIT 101|Denver CO  80216|Denver|Denver|CO|80216|
ELITE GREEN ORGANICS LLC|ELITE GREEN ORGANICS LLC|402-00074|Center - Type 1|Denied|804 South College Ave., Ste. C|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
ELITE GREEN ORGANICS LLC|ELITE GREEN ORGANICS LLC|403-00106|Optional Premises|Denied|5608 South College Ave., Ste. C|Fort Collins CO  80524|Fort Collins|Larimer|CO|80524|
ELK MOUNTAIN CAREGIVERS AND CULTIVATORS LLC|ELK MOUNTAIN CAREGIVERS AND CULTIVATORS LLC|402-00168|Center - Type 1|Denied|477 30 ROAD|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
ELK MOUNTAIN CAREGIVERS AND CULTIVATORS LLC|ELK MOUNTAIN CAREGIVERS AND CULTIVATORS LLC|403-00252|Optional Premises|Denied|477 30 ROAD|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
EMC INC|EPIC MEDICAL CAREGIVERS|402-00076|Center - Type 1|Denied|3631 Galley Road|Colorado Springs CO  80909|Colorado Springs|El Paso|CO|80909|
EMC INC|EPIC MEDICAL CAREGIVERS|403-00110|Optional Premises|Denied|3631 Galley Road|Colorado Springs CO  80909|Colorado Springs|El Paso|CO|80909|
EPIC CURE LLC|EPIC CURE LLC|404-00161|Infused Product Manufacturer|Denied|1700 - 55th St, Unit A4|Boulder CO  80301|Boulder|Boulder|CO|80301|
EPIC CURE LLC|EPIC CURE LLC|403-00590|Optional Premises|Denied|1700 - 55th St|Boulder CO  80301|Boulder|Boulder|CO|80301|
EPIC CURE LLC|EPIC CURE LLC|403-00591|Optional Premises|Denied|4949 N Broadway, #18|Boulder CO  80304|Boulder|Boulder|CO|80304|
EPIC CURE LLC|EPIC CURE LLC|403-00592|Optional Premises|Denied|4949 N Broadway, #46|Boulder CO  80304|Boulder|Boulder|CO|80304|
EPIC CURE LLC|EPIC CURE LLC|403-00593|Optional Premises|Denied|122 Placer Dr|Alma CO  80420|Alma|Park|CO|80420|
EPIC CURE LLC|EARTHSCAPE MEDICINE|403-01231|Optional Premises|Denied|3480 CR Z1|Fort Lupton CO  80621|Fort Lupton|Weld|CO|80621|
EPIC CURE LLC|EARTHSCAPE MEDICINE|403-01232|Optional Premises|Denied|69333 E CR 34|Byers CO  80103|Byers|Arapahoe|CO|80103|
EPIC CURE LLC|EARTHSCAPE MEDICINE|403-01233|Optional Premises|Denied|11142 CR 38|Platteville CO  80651|Platteville|Weld|CO|80651|
EVERGREEN APOTHECARY LLC|EVERGREEN APOTHECARY LLC|403-00635|Optional Premises|Denied|216 South 21st Street|Colorado Springs CO  80904|Colorado Springs|El Paso|CO|80904|
EVOLUTION MEDICINE SERVICES INC|EVOLUTION MEDICINE SERVICES INC|402-00205|Center - Type 1|Denied|4476 N BROADWAY|Boulder CO  80304|Boulder|Boulder|CO|80304|
EVOLUTION MEDICINE SERVICES INC|EVOLUTION MEDICINE SERVICES INC|403-00297|Optional Premises|Denied|1001 LEE HILL DR SUITE A-12|Boulder CO  80304|Boulder|Boulder|CO|80304|
GENERATION GREEN LLC|NATURE?S MEDICINE|402-00426|Center - Type 1|Denied|2929 W 19th St|Denver CO  80204|Denver|Denver|CO|80204|
GENERATION GREEN LLC|NATURE?S MEDICINE|403-00646|Optional Premises|Denied|2200 Central Ave, Unit A1|Boulder CO  80301|Boulder|Boulder|CO|80301|
GJC ORGANICS INC|GJC ORGANICS INC|404-00319|Infused Product Manufacturer|Denied|2999 NORTH AVE.|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
GJC ORGANICS INC|GJC ORGANICS INC|403-01242|Optional Premises|Denied|2999 NORTH AVE.|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
GOD'S GIFT II LLC|GOD?S GIFT II LLC|402-00528|Center - Type 1|Denied|3001 E Road|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
GOD'S GIFT II LLC|GOD?S GIFT II LLC|403-00780|Optional Premises|Denied|3001 E Road|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
GOD'S GIFT II LLC|GOD?S GIFT II LLC|404-00207|Infused Product Manufacturer|Denied|3001 E Road|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
GREEN MEDICALS INC|GREEN DOOR WELLNESS CENTER|402-00747|Center - Type 1|Denied|755 S FEDERAL BLVD., #5|Denver CO  80219|Denver|Denver|CO|80219|
GREEN MEDICALS INC|GREEN DOOR WELLNESS CENTER|403-01135|Optional Premises|Denied|777 UMATILLA ST.|Denver CO  80204|Denver|Denver|CO|80204|
GREEN MEDICALS INC|THE VAULT BY GREEN MEDICALS|402-00748|Center - Type 1|Denied|4201 E YALE AVE., STE B-110|Denver CO  80222|Denver|Denver|CO|80222|
GREEN MEDICALS INC|THE VAULT BY GREEN MEDICALS, LLC|403-01137|Optional Premises|Denied|1011 W 45TH AVE., UNIT C|Denver CO  80211|Denver|Denver|CO|80211|
GREEN MEDICALS INC|THE VAULT BY GREEN MEDICALS, LLC|403-01138|Optional Premises|Denied|777 UMATILLA ST.|Denver CO  80204|Denver|Denver|CO|80204|
GREEN MEDICALS LLC||402R-00128|Retail Marijuana Store|Denied|777 Umatilla Street|Denver CO  80204|Denver|Denver|CO|80204|
GREEN MEDICALS LLC|GREEN MEDICALS LLC|403R-00169|Retail Marijuana Cultivation Facility|Denied|777 Umatilla Street, Unit B&C|Denver CO  80204|Denver|Denver|CO|80204|
GREEN MEDICALS LLC||403R-00170|Retail Marijuana Cultivation Facility|Denied|777 Umatilla Street, Unit A|Denver CO  80204|Denver|Denver|CO|80204|
GREEN MEDICALS LLC||402R-00129|Retail Marijuana Store|Denied|120 South Kalamath Street|Denver CO  80233|Denver|Adams|CO|80233|
GREEN SKY CONFECTIONS INC|MILE HIGH ICE CREAM|404-00055|Infused Product Manufacturer|Denied|4986 Morrison Road, Suite C|Denver CO  80219|Denver|Denver|CO|80219|
GREEN SPIRE CONSULTING LLC|GREEN SPIRE|402-00671|Center - Type 1|Denied|1044 + 1046 W 5th Ave|Denver CO  80204|Denver|Denver|CO|80204|
GREEN SPIRE CONSULTING LLC|GREEN SPIRE|403-01012|Optional Premises|Denied|1044 + 1046 W 5th Ave|Denver CO  80204|Denver|Denver|CO|80204|
GREEN SPIRE CONSULTING LLC|GREEN SPIRE|403-01013|Optional Premises|Denied|1044 + 1046 W 5th Avenue|Denver CO  80204|Denver|Denver|CO|80204|
GREEN SPIRE CONSULTING LLC|GREEN SPIRE|404-00262|Infused Product Manufacturer|Denied|1044 + 1046 W 5th Ave|Denver CO  80204|Denver|Denver|CO|80204|
GREEN VALLEY MEDICAL MARIJUANA DISPENSARY|GREEN VALLEY MEDICAL MARIJUANA DISPENSERY|402-00683|Center - Type 1|Denied|1150-A Railroad Avenue|Rifle CO  81650|Rifle|Garfield|CO|81650|
GREEN VALLEY MEDICAL MARIJUANA DISPENSARY|GREEN ACRE GROWERS|403-01026|Optional Premises|Denied|38150 River Frontage Road, Unit 1B|New Castle CO  81647|New Castle|Garfield|CO|81647|
GREENLIGHT CARE LLC|GREENLIGHT CARE LLC|402-00197|Center - Type 1|Denied|216 N AVE. SUITE#11|GRAND JUNCTION CO  81501|GRAND JUNCTION|Mesa|CO|81501|
GREENLIGHT CARE LLC|GREENLIGHT CARE LLC|403-00288|Optional Premises|Denied|237 27 1/4 RD.  Unit #1|Grand Junction CO  81501|Grand Junction|Mesa|CO|81501|
H&F SPECIALIST LLC|H&F SPECIALIST LLC|402-00662|Center - Type 1|Denied|101 NORTH TEJON ST #102|Colorado Springs CO  80903|Colorado Springs|El Paso|CO|80903|
H&F SPECIALIST LLC|H&F SPECIALIST LLC|403-00997|Optional Premises|Denied|319 IOWA|Colorado Springs CO  80909|Colorado Springs|El Paso|CO|80909|
H&F SPECIALIST LLC|H&F SPECIALIST LLC|404-00260|Infused Product Manufacturer|Denied|101 NORTH TEJON ST #102|Colorado Springs CO  80903|Colorado Springs|El Paso|CO|80903|
HATCH WELLNESS CENTER, LLC|HATCH WELLNESS CENTER, LLC|402-00607|Center - Type 1|Denied|3624 Highlands Ranch Pkwy #105|Highlands Ranch CO  80126|Highlands Ranch|Douglas|CO|80126|
HATCH WELLNESS CENTER, LLC|HATCH WELLNESS CENTER, LLC|403-00904|Optional Premises|Denied|1478 Woolsey Heights|Colorado Springs CO  80915|Colorado Springs|El Paso|CO|80915|
HATCH WELLNESS CENTER, LLC|HATCH WELLNESS CENTER, LLC|402-00608|Center - Type 1|Denied|1478 Woolsey Heights|Colorado Springs CO  80915|Colorado Springs|El Paso|CO|80915|
HATCH WELLNESS CENTER, LLC|HATCH WELLNESS CENTER, LLC|403-00905|Optional Premises|Denied|1478 Woolsey Heights|Colorado Springs CO  80915|Colorado Springs|El Paso|CO|80915|
HAWAIIAN HERBAL HEALTH CENTER LLC|HAWAIIAN HERBAL HEALTH CENTER LLC|402-00624|Center - Type 1|Denied|1337 Delaware Street, Suite #2|Denver CO  80204|Denver|Denver|CO|80204|
HAWAIIAN HERBAL HEALTH LLC|HAWAIIAN HERBAL HEALTH LLC|403-00936|Optional Premises|Denied|3930 Blake Street|Denver CO  80205|Denver|Denver|CO|80205|
HAWAIIAN HERBAL HEALTH LLC|HAWAIIAN HERBAL HEALTH LLC|404-00246|Infused Product Manufacturer|Denied|1337 Delaware Street, Suite #3|Denver CO  80204|Denver|Denver|CO|80204|
Herbal Medical Center|Herbal Medical Center|402-00367|Center - Type 1|Denied|3258 F Rd, #B|Clifton CO  81520|Clifton|Mesa|CO|81520|
Herbal Medical Center|Herbal Medical Center|403-00550|Optional Premises|Denied|3258 F Rd, #B|Clifton CO  81520|Clifton|Mesa|CO|81520|
HERBAL REMEDIES|HERBAL REMEDIES|402-00527|Center - Type 1|Denied|2829 North Ave #212|Grand Junction CO  81501|Grand Junction|Mesa|CO|81501|
HERBAL REMEDIES|HERBAL REMEDIES|403-00779|Optional Premises|Denied|376 Indian Road #B|Grand Junction CO  81501|Grand Junction|Mesa|CO|81501|
HERBAL WELLNESS|HERBAL WELLNESS INC|403-00264|Optional Premises|Denied|2565 WESTON ROAD|Colorado Springs CO  80910|Colorado Springs|El Paso|CO|80910|
HGCO LLC||403-01880|Optional Premises|Denied|3725 Salem Street|Denver CO  80239|Denver|Denver|CO|80239|
HGCO LLC||402R-00661|Retail Marijuana Store|Denied|12545 East 37th Avenue|Denver CO  80239|Denver|Denver|CO|80239|
HIGH COUNTRY CAREGIVERS INC.|HIGH COUNTRY CAREGIVERS INC.|402-00604|Center - Type 1|Denied|3768 Highway 82 Suite 201|Glenwood Springs CO  81601|Glenwood Springs|Garfield|CO|81601|
HIGH COUNTRY CAREGIVERS INC.|HIGH COUNTRY CAREGIVERS INC.|403-00901|Optional Premises|Denied|4786 County Road 312|New Castle CO  81647|New Castle|Garfield|CO|81647|
HIGH DESERT DISPENSARY LLC|HIGH DESERT DISPENSARY LLC|402-00536|Center - Type 1|Denied|1460 North Ave Suite S|Grand Junction CO  81501|Grand Junction|Mesa|CO|81501|
HIGHER HEALTH MEDICAL LLC||402-00436|Center - Type 1|Denied|527 E. Mississippi Avenue|Denver CO  80210|Denver|Denver|CO|80210|
HIGHER HEALTH MEDICAL LLC||403-00656|Optional Premises|Denied|5105 E 39th Avenue|Denver CO  80207|Denver|Denver|CO|80207|
HIGHLY HERBAL|HIGHLY HERBAL|402-00458|Center - Type 1|Denied|2493 HWY 6 & 50, Unit 22|Grand Junction CO  81505|Grand Junction|Mesa|CO|81505|
HIGHLY HERBAL|HIGHLY HERBAL|403-00691|Optional Premises|Denied|381 Indian Rd|Grand Junction CO  81504|Grand Junction|Mesa|CO|81504|
JACKASS ORGANICS LLC|JACKASS ORGANICS LLC|402-00032|Center - Type 1|Denied|395 E. ROGERS RD|LONGMONT CO  80501|LONGMONT|Boulder|CO|80501|
JACKASS ORGANICS LLC|JACKASS ORGANICS LLC|403-00044|Optional Premises|Denied|395 E Rogers Road|Longmont CO  80501|Longmont|Boulder|CO|80501|
JD MCREYNOLDS LLC|JD MCREYNOLDS LLC|404-00052|Infused Product Manufacturer|Denied|1005 N FEDERAL BLVD|Denver CO  80204|Denver|Denver|CO|80204|
JMMP ENTERPRISES INC|GRATEFUL MEDS|402-00496|Center - Type 1|Denied|110 Snyder Street|Nederland CO  80466|Nederland|Boulder|CO|80466|
JMMP ENTERPRISES INC|GRATEFUL MEDS|403-00733|Optional Premises|Denied|2640 East 43rd Avenue|Denver CO  80216|Denver|Denver|CO|80216|
JOHNNY CANNASEED LLC|JOHNNY CANNASEED|403R-00833|Retail Marijuana Cultivation Facility|Denied|39335-A Harbour Road|Avondale CO  81022|Avondale|Pueblo|CO|81022|
JOLET VENTURES LLC|710 LABS|404-00595|Infused Product Manufacturer|Denied|10975 East 47th Avenue|Denver CO  80239|Denver|Denver|CO|80239|
JOYS NUTRITION|JOYS NUTRICIAN|402-00108|Center - Type 1|Denied|2866 North Colorado Blvd|DENVER CO  80207|DENVER||CO|80207|
JOYS NUTRITION|JOYS NUTRICIAN|403-00154|Optional Premises|Denied|4900 Dahlia Street|DENVER CO  80206|DENVER||CO|80206|
